需求编号,需求描述,Unnamed: 2,Unnamed: 3,Unnamed: 4,对应功能项,Unnamed: 6,Unnamed: 7,Unnamed: 8,测试用例编号,测试用例名称,预置条件,操作步骤,预期输出,重要级别,测试类型,适用阶段,测试结果,最近执行人,备注
23,管理系统,设备管理,设备激活,"1.依据租户授权设备数量提供相应数量的设备激活链接（包含唯一的AgentID）
2.租户自己在被授权设备中打开设备激活链接，下载Agent并完成安装同时进行设备激活
3.安装完成后Agent向服务器返回状态信息",设备管理,激活设备,,,TC_23_1_2,在激活设备界面，勾选任意记录，点击“从设备列表删除”，操作成功，不能在“设备列表”查看到该设备,"1.客户端与服务端网络通信正常;
2.存在一台已安装agent软件但未激活的设备
3.服务端可以正常登陆","1.登陆服务端界面
2.点击设备管理-添加设备
3.勾选任意一台待激活的设备，点击“从设备列表删除”
4.在设备列表根目录查看是否存在该设备",4.被删除的设备不会在添加设备中显示,1.0,功能测试,系统测试阶段,通过,,
23,管理系统,设备管理,设备激活,"1.依据租户授权设备数量提供相应数量的设备激活链接（包含唯一的AgentID）
2.租户自己在被授权设备中打开设备激活链接，下载Agent并完成安装同时进行设备激活
3.安装完成后Agent向服务器返回状态信息",设备管理,激活设备,,,TC_23_1_3,在激活设备界面，“IP地址”和“设备SN号”为空，点击查询，查询结果显示所有记录,"1.客户端与服务端网络通信正常;
2.存在多台已安装agent软件但未激活的设备
3.服务端可以正常登陆","1.登陆服务端界面
2.点击设备管理-添加设备
3.在搜索栏“IP地址”和“设备SN号”为空，点击查询",3.查询结果显示所有记录,2.0,功能测试,系统测试阶段,通过,,
23,管理系统,设备管理,设备激活,"1.依据租户授权设备数量提供相应数量的设备激活链接（包含唯一的AgentID）
2.租户自己在被授权设备中打开设备激活链接，下载Agent并完成安装同时进行设备激活
3.安装完成后Agent向服务器返回状态信息",设备管理,激活设备,,,TC_23_1_4,设备在管理系统中具有全局唯一的标识,"1.服务端可以正常登陆
2.存在激活的设备A","1.登录管理系统数据库
2.查看设备是否具有全局唯一的标识",2.设备在管理系统中具有全局唯一的标识 agent id ,1.0,功能测试,系统测试阶段,通过,,
24        ,管理系统,设备管理,设备激活,租户可联外网--设备授权激活信息可直接推送到,设备管理,激活设备,,,TC_24_1_1,管理员在服务端激活设备，客户端自动重启机器后，agent将配置文件通过host_info传给bios，BIOS激活agent守护服务成功，服务器更新激活状态为已激活,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能未激活;","1.客户端登录激活地址（例如192.168.60.70:8888）
2.输入激活码，点击确定
3.填写设备名称和设备位置描述，点击保存
4.客户端自动下载server文件，自动重启
5.进入BIOS“安全”界面，查看“守护功能开关”的状态;
6.客户端进入OS后，进入服务端查看客户端激活状态，并查看激活日志;","5.“守护功能开关”显示“已激活”，BIOS激活agent守护服务成功;
6. 服务端显示客户端状态已激活，服务端显示客户端激活成功日志;",1.0,功能测试,系统测试阶段,通过,,
24        ,管理系统,设备管理,设备激活,租户在内网--设备授权激活信息支持导入,设备管理,激活设备,,,TC_24_1_2,设备在管理系统中具有全局唯一的标识,"1.服务端可以正常登陆
2.存在激活的设备A","1.登录管理系统数据库
2.查看设备是否具有全局唯一的标识",2.设备在管理系统中具有全局唯一的标识 agent id ,1.0,功能测试,系统测试阶段,通过,,
25,管理系统,设备管理,设备注销,"1.租户从设备资源列表中勾选要注销的设备
2.点击【设备卸载】
3.租户授权数量+1",设备管理,注销设备,,,TC_25_1_1,在设备管理界面，勾选任意记录，点击“注销设备”，操作成功，在“设备列表”不能查看到该设备,"1.服务端可以正常登陆
2.服务端上存在被管理的激活设备
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理
3.勾选任意一台设备，点击注销设备",3.在“设备列表”不能查看到该设备,1.0,功能测试,系统测试阶段,通过,,
25,管理系统,设备管理,设备注销,"1.租户从设备资源列表中勾选要注销的设备
2.点击【设备卸载】
3.租户授权数量+1",设备管理,注销设备,,,TC_25_1_2,设备被注销后，可以在激活设备界面看到该设备，且可以被再次激活,"1.服务端可以正常登陆
2.服务端上存在被管理的激活设备
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理
3.勾选任意一台设备，点击注销设备
4.点击设备",3.在“设备列表”不能查看到该设备,1.0,功能测试,系统测试阶段,通过,,
26,管理系统,设备管理,设备多级分组管理,1.创建设备分组,设备管理,设备分组,,,TC_26_1_1,服务器初次使用，在设备管理界面，点击“创建分组”，“上级分组”为空，其他参数填写正确，点击确定分组创建成功,"1.服务端可以正常登陆
2.服务器为初次使用","1.登陆服务端界面
2.选择设备管理-创建分组
3.“上级分组”为空，其他参数填写正确，点击确定",3.分组创建成功,2.0,功能测试,系统测试阶段,通过,,
26,管理系统,设备管理,设备多级分组管理,1.创建设备分组,设备管理,设备分组,,,TC_26_1_2,在设备管理界面，创建分组成功，会有操作日志记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.选择设备管理-创建分组
3.所有信息正常填写，点击确定
4.查看是否生成相关操作记录","4=3.分组创建成功
4.存在分组创建成功的操作日志",1.0,功能测试,系统测试阶段,通过,,
27,管理系统,设备管理,设备多级分组管理,2.编辑设备分组,设备管理,编辑分组,,,TC_27_1_1,在设备管理界面，存在分组A/B/C ，选择分组C，点击“编辑分组”，修改分组名称为D成功,"1.服务端可以正常登陆
2.存在分组A/B/C ","1.登陆服务端界面
2.选择设备管理界面
3.选择分组C，点击“编辑分组”，修改分组名称为D",3.分组名称修改成功,1.0,功能测试,系统测试阶段,通过,,
27,管理系统,设备管理,设备多级分组管理,2.编辑设备分组,设备管理,编辑分组,,,TC_27_1_2,在编辑分组界面，默认窗口可以进行拖动,1.服务端可以正常登陆,"1.登陆服务端界面
2.选择设备管理-编辑分组
3.使用鼠标拖动弹窗",3.拖动过程无明显卡顿，且内容显示正常,2.0,功能测试,系统测试阶段,通过,,
28,管理系统,设备管理,设备多级分组管理,3.删除设备分组,设备管理,删除分组,,,TC_28_1_1,在设备管理界面，选择根分组，点击“删除分组”会有错误提示“根分组信息不能删除！”,1.服务端可以正常登陆,"1.登陆服务端界面
2.选择设备管理
3.选中根分组，点击删除分组",3.服务端报错，提示“根分组信息不能删除！”,2.0,功能测试,系统测试阶段,通过,,
28,管理系统,设备管理,设备多级分组管理,3.删除设备分组,设备管理,删除分组,,,TC_28_1_2,在设备管理界面，存在分组 A/B/C/D，其中根分组A绑定有M个设备，分组C和分钟D绑定有N个设备，选中分组C，点击“删除分组”成功，根分组绑定的设备数变为M+N,"1.服务端可以正常登陆
2.存在分组 A/B/C/D
3.分组A绑定有M个设备，分组C和分钟D绑定有N个设备","1.登陆服务端界面
2.选择设备管理
3.选中分组C，点击“删除分组”，点击确定
4.查看根分组绑定设备数量",4.根分组绑定的设备数变为M+N,1.0,功能测试,系统测试阶段,通过,,
29        ,管理系统,设备管理,设备多级分组管理,远程开机,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
30,管理系统,设备管理,设备远程管理,远程关机,设备管理,远程关机,,,TC_30_1_1,在设备管理界面，选中任意离线设备查看详情，点击远程关机，会有错误提示“设备处于离线状态不能远程关机！”,"1.服务端运行正常。
2.服务端与客户端通信正常。","1.登陆服务端界面
2.点击设备管理-选择指定开机的客户端设备（离线状态），点击查看详情-远程关机",3.服务端报错，提示“设备处于离线状态不能远程关机！”,2.0,功能测试,系统测试阶段,通过,,
30,管理系统,设备管理,设备远程管理,远程关机,设备管理,远程关机,,,TC_30_1_2,客户端处于开机状态，在设备管理界面，选中该设备查看详情，点击远程关机，设备关机成功,"1.服务端运行正常。
2.服务端与客户端通信正常。","1.登陆服务端界面
2.点击设备管理-选择指定开机的客户端设备（在线状态），点击查看详情-远程关机",2.远程关机成功,1.0,功能测试,系统测试阶段,通过,,
31,管理系统,设备管理,设备远程管理,远程重启,设备管理,远程重启,,,TC_31_1_1,在设备管理界面，选中任意离线设备查看详情，点击远程重启，会有错误提示“设备处于离线状态不能远程重启！”,"1.服务端运行正常。
2.服务端与客户端通信正常。","1.登陆服务端界面
2.点击设备管理-选择指定开机的客户端设备（离线状态），点击查看详情-远程重启",3.服务端报错，提示“设备处于离线状态不能远程重启！”,2.0,功能测试,系统测试阶段,通过,,
31,管理系统,设备管理,设备远程管理,远程重启,设备管理,远程重启,,,TC_31_1_2,客户端处于开机状态，在设备管理界面，选中该设备查看详情，点击远程重启，设备重启成功,"1.服务端运行正常。
2.服务端与客户端通信正常。","1.登陆服务端界面
2.点击设备管理-选择指定开机的客户端设备（在线状态），点击查看详情-远程重启",2.远程重启成功,1.0,功能测试,系统测试阶段,通过,,
32        ,管理系统,设备管理,设备远程管理,远程数据传送,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
33        ,管理系统,设备管理,设备远程管理,远程数据删除,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
34,管理系统,设备管理,设备远程管理,远程软件安装,软件管理,软件仓库,远程安装,,TC_34_1_1,在远程安装界面，勾选任意设备（状态在线），点击远程安装，会有进度显示，安装完成会有操作成功的日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选任意一条软件记录，点击远程安装
4.勾选任意一台设备（状态在线），点击远程安装",4.安装过程会有进度显示，安装完成会有操作成功的日志,1.0,功能测试,系统测试阶段,通过,,
34,管理系统,设备管理,设备远程管理,远程软件安装,软件管理,软件仓库,远程安装,,TC_34_1_2,全部软件，服务端可以下发给指定客户端并行进行安装,"1.服务端可以正常登陆
2.客户端与服务端通信正常","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选任意全部同系统软件记录，点击远程安装
4.勾选指定同系统设备（状态在线），点击远程安装",4.用户安装成功，且上传“安装成功”日志,2.0,功能测试,系统测试阶段,通过,,
35,管理系统,设备管理,设备远程管理,远程软件卸载,软件管理,软件仓库,远程卸载,,TC_35_1_1,在远程卸载界面，勾选任意设备（状态在线），点击远程卸载，会有进度显示，卸载完成会有操作成功的日志,"1.服务端可以正常登陆
2.客户端存在要卸载的软件","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选要卸载软件记录，点击远程卸载
4.勾选存在此软件的设备（状态在线），点击远程卸载",4.卸载过程会有进度显示，卸载完成会有操作成功的日志,1.0,功能测试,系统测试阶段,通过,,
35,管理系统,设备管理,设备远程管理,远程软件卸载,软件管理,软件仓库,远程卸载,,TC_35_1_2,客户端开机，存在软件A，软件A被守护，服务端下发软件A卸载任务成功,"1.服务端可以正常登陆
2.客户端存在要卸载的软件
3.卸载的软件处于被守护过程中","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选要卸载软件记录，点击远程卸载
4.勾选存在此软件的设备（状态在线），点击远程卸载",4.软件卸载成功,2.0,功能测试,系统测试阶段,通过,,
35,管理系统,设备管理,设备远程管理,远程软件卸载,软件管理,软件仓库,远程卸载,,TC_35_1_3,全部软件，服务端可以下发给指定客户端并行进行卸载,"1.服务端可以正常登陆
2.客户端与服务端通信正常","1.登陆服务端界面
2.点击软件管理-软件仓库
3.勾选任意全部同系统软件记录，点击远程卸载
4.勾选指定同系统设备（状态在线），点击部署",4.用户卸载成功，且上传“安装成功”日志,2.0,功能测试,系统测试阶段,通过,,
36        ,管理系统,设备管理,设备远程管理,远程设备屏幕锁定,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
37        ,管理系统,设备管理,设备远程管理,远程设备屏幕解锁,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
38        ,管理系统,设备管理,设备远程管理,远程锁定设备USB端口,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
39        ,管理系统,设备管理,设备远程管理,远程解锁设备USB端口,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
40        ,管理系统,设备管理,设备远程管理,远程IP地址锁定,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
41        ,管理系统,设备管理,设备远程管理,远程IP地址解锁,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
42        ,管理系统,资产看板,所有设备展示,按照租户分组情况排列：,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
,管理系统,资产看板,所有设备展示,地理区域、部门、密级等依据租户自己的分组设定,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
43        ,管理系统,资产看板,所有设备展示,展示按柱状图、折线图、饼图可配置,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
44        ,管理系统,资产看板,所有设备展示,设备当下时间点在网状态,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
45,管理系统,资产看板,所有设备盘点,"1.硬件信息盘点：
硬件设备品牌/厂商
硬件配置信息
硬件设备在分组中的数量统计",资产管理,设备资产信息统计,,,TC_45_1_1,进入资产统计-设备资产信息统计页面，按设备分组统计的图表显示正确（遍历分组的增加和删除，点击刷新是否同步更新图表）,"1.服务端运行正常
","1.打开资产统计-设备资产信息统计页面
2.打开设备管理页面，增加分组或者删除分组（要遍历）
3.进入已打开的设备资产信息统计页面
4.点击设备资产信息统计页面右上角的更新按钮
5.查看“按设备分组统计”的图表显示是否同步更新，且显示是否正确",5.“按设备分组统计”的图表显示同步更新，且显示正确,1.0,功能测试,系统测试阶段,通过,,
45,管理系统,资产看板,所有设备盘点,"1.硬件信息盘点：
硬件设备品牌/厂商
硬件配置信息
硬件设备在分组中的数量统计",资产管理,设备资产信息统计,,,TC_45_1_2,进入资产统计-设备资产信息统计页面，按处理器统计的图表显示正确（按不同处理器进行区分）,"1.服务端运行正常
","1.登录服务器
2.进入资产统计-设备资产信息统计页面
3.“按处理器统计”的图表按不同处理器进行区分，通过点击具体的处理器图标
4.查看“按处理器统计”的图表显示是否同步更新，且显示是否正确",4.“按处理器统计”的图表显示同步更新，且显示正确,2.0,功能测试,系统测试阶段,通过,,
45,管理系统,资产看板,所有设备盘点,"1.硬件信息盘点：
硬件设备品牌/厂商
硬件配置信息
硬件设备在分组中的数量统计",资产管理,设备资产信息统计,,,TC_45_1_3,进入资产统计-设备资产信息统计页面，按设备厂商统计的图表显示正确（遍历不同厂商设备的激活和注销，点击刷新是否同步更新图表）,"1.服务端运行正常
","1.打开资产统计-设备资产信息统计页面
2.打开设备管理页面，激活设备或者注销设备（要遍历不同厂商）
3.进入已打开的设备资产信息统计页面
4.点击设备资产信息统计页面右上角的更新按钮
5.查看“按厂商统计”的图表显示是否同步更新，且显示是否正确",5.“按厂商统计”的图表显示同步更新图表，且显示正确,1.0,功能测试,系统测试阶段,通过,,
45,管理系统,资产看板,所有设备盘点,"1.硬件信息盘点：
硬件设备品牌/厂商
硬件配置信息
硬件设备在分组中的数量统计",资产管理,设备资产信息统计,,,TC_45_1_4,进入资产统计-设备资产信息统计页面，按操作系统类型统计的图表显示正确（遍历不同操作系统类型设备的激活和注销，点击刷新是否同步更新图表）,"1.服务端运行正常
","1.打开资产统计-设备资产信息统计页面
2.打开设备管理页面，激活设备或者注销设备（要遍历不同操作系统类型）
3.进入已打开的设备资产信息统计页面
4.点击设备资产信息统计页面右上角的更新按钮
5.查看“按操作系统类型统计”的图表显示是否同步更新，且显示是否正确",5.“按操作系统类型统计”的图表显示同步更新图表，且显示正确,1.0,功能测试,系统测试阶段,通过,,
46,管理系统,资产看板,所有设备盘点,"2.软件信息盘点：
操作系统信息
守护的第三方软件信息列表（统计是否有安装杀毒软件）
第三方软件安装情况统计
补丁的安装情况统计
关键应用活跃度统计
不同操作系统在分组中的数量统计",资产管理,软件资产信息统计,,,TC_46_1_1,进入资产统计-软件资产信息统计页面，按分组软件安装率统计TOP3统计的图表显示正确（遍历分组的增加和删除，点击刷新是否同步更新图表）,"1.服务端运行正常
","1.打开资产统计-软件资产信息统计页面
2.打开设备管理页面，增加分组或者删除分组（要遍历）
3.进入已打开的软件资产信息统计页面
4.点击软件资产信息统计页面右上角的更新按钮
5.查看“按分组软件安装率统计TOP3统计”的图表显示是否同步更新，且显示是否正确",5.“按分组软件安装率统计TOP3统计”的图表显示同步更新，且显示正确,1.0,功能测试,系统测试阶段,通过,,
46,管理系统,资产看板,所有设备盘点,"2.软件信息盘点：
操作系统信息
守护的第三方软件信息列表（统计是否有安装杀毒软件）
第三方软件安装情况统计
补丁的安装情况统计
关键应用活跃度统计
不同操作系统在分组中的数量统计",资产管理,软件资产信息统计,,,TC_46_1_2,进入资产统计-软件资产信息统计页面，按分组软件安装率统计TOP3统计的图表显示正确（变更软件TOP3排名，点击刷新是否同步更新图表）,"1.服务端运行正常
","1.打开资产统计-软件资产信息统计页面
2.变更软件TOP3排名
3.进入已打开的软件资产信息统计页面
4.点击软件资产信息统计页面右上角的更新按钮
5.查看“按分组软件安装率统计TOP3统计”的图表显示是否同步更新，且显示是否正确",5.“按分组软件安装率统计TOP3统计”的图表显示同步更新，且显示正确,1.0,功能测试,系统测试阶段,通过,,
46,管理系统,资产看板,所有设备盘点,"2.软件信息盘点：
操作系统信息
守护的第三方软件信息列表（统计是否有安装杀毒软件）
第三方软件安装情况统计
补丁的安装情况统计
关键应用活跃度统计
不同操作系统在分组中的数量统计",资产管理,软件资产信息统计,,,TC_46_1_3,进入资产统计-设备资产信息统计页面，按分组软件安装率统计TOP3统计的图表显示正确（按不同软件进行区分）,"1.服务端运行正常
","1.登录服务器
2.进入资产统计-软件资产信息统计页面
3.“按分组软件安装率统计TOP3统计”的图表按不同软件进行区分，通过点击具体的软件图标
4.查看“按分组软件安装率统计TOP3统计”的图表显示是否同步更新，且显示是否正确",4.“按分组软件安装率统计TOP3统计”的图表显示同步更新，且显示正确,2.0,功能测试,系统测试阶段,通过,,
46,管理系统,资产看板,所有设备盘点,"2.软件信息盘点：
操作系统信息
守护的第三方软件信息列表（统计是否有安装杀毒软件）
第三方软件安装情况统计
补丁的安装情况统计
关键应用活跃度统计
不同操作系统在分组中的数量统计",资产管理,软件资产信息统计,,,TC_46_1_4,进入资产统计-软件资产信息统计页面，7天内软件使用频次统计TOP5统计的图表显示正确（只有1个软件，点击刷新是否同步更新图表）,"1.服务端运行正常
","1.打开资产统计-软件资产信息统计页面
2.7天内只有1个软件在使用
3.进入已打开的软件资产信息统计页面
4.点击软件资产信息统计页面右上角的更新按钮
5.查看“7天内软件使用频次统计TOP5统计”的图表显示是否同步更新，且显示是否正确",5.“7天内软件使用频次统计TOP5统计”的图表显示同步更新，且显示正确,2.0,功能测试,系统测试阶段,通过,,
47,管理系统,资产看板,所有设备盘点,3.软硬件信息可导出excel,资产管理,资产台账数据报表,,,TC_47_1_1,进入资产统计-软件资产信息统计页面，进入资产统计-资产台账数据报表页面，在软件资产台账框，“软件名称”、“适用处理器”和“软件分类”输入不存在的组合条件，点击查询，查询结果为空,"1.服务端运行正常
","1.登录服务器
2.进入资产统计-软件资产信息统计页面
3.“软件名称”、“适用处理器”和“软件分类”输入不存在的组合条件，点击查询",3.界面显示为空,2.0,功能测试,系统测试阶段,通过,,
48        ,管理系统,资产看板,设备健康状态报告,1.关键应用程序的License状态-到期/超期,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
49,管理系统,资产看板,设备安全管控策略报告,分组中按照安全管控策略统计设备数量,资产统计,资产健康状态统计,,,TC_49_1_1,进入资产统计-资产健康状态统计页面，按告警分类统计框，点击表格名称，可以进行排序,1.服务端可以正常登陆,"1.登陆服务端界面
2.进入资产统计-资产健康状态统计页面，选中“按告警分类统计”框
3.点击不同的表格名称类型",3.可以按照该类型进行排序,2.0,功能测试,系统测试阶段,通过,,
49,管理系统,资产看板,设备安全管控策略报告,分组中按照安全管控策略统计设备数量,资产统计,资产健康状态统计,,,TC_49_1_2,进入资产统计-资产健康状态统计页面，按告警分类统计框，点击左下角最大显示记录数的枚举，可以调整每页显示的最大记录数，且右下角显示记录数正确,1.服务端可以正常登陆,"1.登陆服务端界面
2.进入资产统计-资产健康状态统计页面，选中“按告警分类统计”框
3.选择左下角最大显示记录数，选择不同的数据数量",3.可以按照选择的数据数量显示,2.0,功能测试,系统测试阶段,通过,,
50        ,管理系统,安全管控策略管理,安全策略导入,从云端系统导入租户所采用的安全策略,软件管理,-守护策略,云端同步守护策略,,,,,,,,,,通过,,
51,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_51_1_1,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
51,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_51_1_2,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
51,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_51_1_3,打开编辑策略界面，“防止关闭”可以修改为ON或者OFF，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止关闭”可以修改为ON或者OFF，点击提交",4.“目录或文件路径”不能编辑,1.0,功能测试,系统测试阶段,通过,,
51,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_51_1_4,打开编辑策略界面，“防止删除”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，输入为空，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止删除”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
51,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_51_1_5,打开编辑策略界面，“防止篡改”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，输入为空，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止篡改”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
52,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_52_1_2,在守护策略页面，勾选多个策略，点击部署策略，操作成功,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选多个策略，点击部署策略",3.操作成功,2.0,功能测试,系统测试阶段,通过,,
52,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_52_1_3,在部署策略界面，勾选任意一个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选指定的设备，点击部署策略",4.策略部署成功，且守护策略在客户端生效,1.0,功能测试,系统测试阶段,通过,,
52,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_52_1_4,在部署策略界面，勾选多个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选多个指定的设备，点击部署策略",4.策略部署成功，且守护策略在所有客户端生效,1.0,功能测试,系统测试阶段,通过,,
52,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_52_1_5,设备A设置守护策略P1，在守护策略-部署策略界面设置设备A守护策略为P2，再次查看设备管理-设备详情界面，守护策略显示为P2，且守护策略P2在客户端上生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.设备A已下发守护策略P1","1.登陆服务端界面
2.点击设备管理-勾选设备A，点击查看详情
3.点击软件管理-守护策略
4.勾选指定策略P2，点击策略部署
5.再次点击设备管理-勾选设备A，点击查看详情","2.策略信息中显示为P1
4.策略部署成功，且守护策略在客户端生效
5.策略信息中显示为P2",2.0,功能测试,系统测试阶段,通过,,
53        ,管理系统,安全管控策略管理,安全策略导入,从云端系统导入租户所采用的安全策略,软件管理,-守护策略,云端同步守护策略,,,,,,,,,,通过,,
54        ,,,定制化安全策略,根据等保要求需要增加密码复杂度、密钥锁定时间,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
55,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_55_1_1,打开创建策略界面，“软件名称”选择任意枚举值，其他参数填写正确，点击提交添加成功，策略配置信息显示正确。,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略-创建策略
3.“软件名称”选择任意枚举值，其他参数填写正确，点击提交（遍历所有已存在软件）",3.策略配置信息显示正确。,1.0,功能测试,系统测试阶段,通过,,
55,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_55_1_2,打开编辑策略界面，“策略名称”长度为最大长度（254个字节），其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“策略名称”输入等于254字节信息，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
55,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_55_1_3,打开编辑策略界面，“防止关闭”可以修改为ON或者OFF，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止关闭”可以修改为ON或者OFF，点击提交",4.“目录或文件路径”不能编辑,1.0,功能测试,系统测试阶段,通过,,
55,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_55_1_4,打开编辑策略界面，“防止删除”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，输入为空，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止删除”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
55,管理系统,安全管控策略管理,安全策略集中部署,1.分组集中部署,软件管理,-守护策略,创建策略,,TC_55_1_5,打开编辑策略界面，“防止篡改”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，输入为空，其他参数填写正确，点击提交修改成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-守护策略
3.选择已经创建好的任意策略，点击编辑
4.“防止篡改”设置为ON，“目录或文件路径”和“排除目录和文件路径”可以编辑，但不输入，其他参数填写正确，点击提交",4.策略修改成功，配置信息显示正确。,2.0,功能测试,系统测试阶段,通过,,
